model,group,cell,condition,accuracy,paired_success,log_loss,brier
old_recency,for-17,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-17,timbre,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-17,timbre,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-17,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-17,timbre,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-17,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-17,duration,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-17,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-17,duration,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-17,duration,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-17,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-17,duration,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-17,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-17,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-17,joint,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-17,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-17,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-17,joint,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-17,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-17,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-17,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-17,joint,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-17,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-17,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
