model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
fixed/present,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-16,detached,intact,1,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition2,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
oracle-boundary/present,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-16,detached,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
oracle-boundary/transition1,cea-16,detached,intact,1,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
oracle-boundary/transition3,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
map/absolute,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/present,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-16,legato,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/transition1,cea-16,legato,intact,0,1.0,0.4318960021401493,0.24534094298399678,0.6582329437627202,1.9999999999999998e-05,0.6492768965818192
map/transition2,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/transition3,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
mixture/absolute,cea-16,legato,intact,0,1.0,0.4872522188182851,0.29705535369276914,0.6734817325408573,0.3850976095602975,0.6143120723385183
mixture/present,cea-16,legato,intact,0,0.0,11.306050022714606,1.2662170057631528,1.4443634585270828,0.3850976095602975,0.3850976095602975
mixture/recency,cea-16,legato,intact,0,0.0,7.394027017286461,1.4895251581137345,0.8994401312832974,0.38570022595525627,0.5847838689855368
mixture/reference,cea-16,legato,intact,0,1.0,0.4872522188182851,0.29705535369276914,0.6734817325408573,0.3850976095602975,0.6143120723385183
mixture/transition1,cea-16,legato,intact,0,1.0,0.9181677404444728,0.5554578853198056,1.0711163414684066,0.3850976095602975,0.3992499007634474
mixture/transition2,cea-16,legato,intact,0,1.0,0.4872522188182851,0.29705535369276914,0.6734817325408573,0.3850976095602975,0.6143120723385183
mixture/transition3,cea-16,legato,intact,0,1.0,0.4872522188182851,0.29705535369276914,0.6734817325408573,0.3850976095602975,0.6143120723385183
